Model,Dim,Prompt,pearson,spearman,kendall,mae,rmse,cohen_kappa,%_agreement
olmo2-32B-medium,dialectic,cot,0.671,0.651,0.468,0.641,0.811,0.516,54.723
mixtral-8x22B-medium,logic,zero,0.557,0.539,0.375,0.744,0.942,0.324,36.224
mixtral-8x22B-medium,logic,few,0.441,0.419,0.286,0.843,1.058,0.49,52.709
mixtral-8x22B-medium,logic,cot,0.49,0.494,0.343,0.785,1.01,0.507,54.186
mixtral-8x22B-medium,rhetoric,zero,0.589,0.591,0.415,0.713,0.907,0.507,53.62
mixtral-8x22B-medium,rhetoric,few,0.449,0.452,0.313,0.819,1.05,0.541,57.361
mixtral-8x22B-medium,rhetoric,cot,0.525,0.542,0.379,0.754,0.975,0.475,50.573
mixtral-8x22B-medium,dialectic,zero,0.509,0.504,0.349,0.783,0.991,0.455,48.825
mixtral-8x22B-medium,dialectic,few,0.638,0.621,0.445,0.664,0.851,0.601,62.916
mixtral-8x22B-medium,dialectic,cot,0.492,0.502,0.348,0.785,1.008,0.515,54.838
llama-70B-big,logic,zero,0.896,0.896,0.723,0.339,0.456,0.821,83.515
llama-70B-big,logic,few,1.0,1.0,1.0,0.0,0.0,1.0,100.0
llama-70B-big,logic,cot,0.883,0.887,0.711,0.357,0.485,0.82,83.429
llama-70B-big,rhetoric,zero,0.891,0.892,0.717,0.339,0.466,0.844,85.586
llama-70B-big,rhetoric,few,1.0,1.0,1.0,0.0,0.0,1.0,100.0
llama-70B-big,rhetoric,cot,0.831,0.836,0.65,0.426,0.582,0.803,81.816
llama-70B-big,dialectic,zero,0.89,0.889,0.713,0.345,0.468,0.829,84.253
llama-70B-big,dialectic,few,1.0,1.0,1.0,0.0,0.0,1.0,100.0
llama-70B-big,dialectic,cot,0.858,0.859,0.67,0.403,0.533,0.761,77.931
qwen2.5-72B-big,logic,zero,0.842,0.838,0.647,0.432,0.563,0.721,74.083
qwen2.5-72B-big,logic,few,0.838,0.836,0.645,0.434,0.569,0.686,70.75
qwen2.5-72B-big,logic,cot,0.795,0.791,0.596,0.494,0.64,0.718,73.825
qwen2.5-72B-big,rhetoric,zero,0.804,0.8,0.606,0.475,0.626,0.766,78.376
qwen2.5-72B-big,rhetoric,few,0.794,0.795,0.601,0.488,0.641,0.695,71.689
qwen2.5-72B-big,rhetoric,cot,0.792,0.792,0.599,0.485,0.645,0.688,70.886
qwen2.5-72B-big,dialectic,zero,0.842,0.835,0.645,0.426,0.563,0.738,75.659
qwen2.5-72B-big,dialectic,few,0.825,0.823,0.63,0.447,0.592,0.742,76.068
qwen2.5-72B-big,dialectic,cot,0.801,0.796,0.604,0.474,0.631,0.669,69.159
commandr-104B-big,logic,zero,0.663,0.675,0.49,0.631,0.821,0.634,66.112
commandr-104B-big,logic,few,0.66,0.667,0.485,0.634,0.825,0.538,56.938
commandr-104B-big,logic,cot,0.603,0.619,0.446,0.676,0.891,0.685,70.972
commandr-104B-big,rhetoric,zero,0.514,0.535,0.375,0.761,0.986,0.558,58.966
commandr-104B-big,rhetoric,few,0.592,0.592,0.42,0.707,0.904,0.586,61.647
commandr-104B-big,rhetoric,cot,0.515,0.528,0.372,0.758,0.985,0.601,63.159
commandr-104B-big,dialectic,zero,0.554,0.566,0.403,0.722,0.944,0.631,65.862
commandr-104B-big,dialectic,few,0.621,0.628,0.451,0.673,0.87,0.654,68.069
commandr-104B-big,dialectic,cot,0.571,0.583,0.419,0.701,0.927,0.576,60.572
